"","region","white.history.month","whm_estimate"
"1","Atlanta GA",76.7,6.28483600594395
"2","Boston MA-Manchester NH",43.89,7.44455198742227
"3","Charlotte NC",81.49,7.12145607245561
"4","Chicago IL",61.91,6.43871086349299
"5","Cleveland-Akron (Canton) OH",71.82,7.36075933026697
"6","Dallas-Ft. Worth TX",61.27,5.87639400023137
"7","Denver CO",40.97,7.46588851010875
"8","Detroit MI",65.66,7.16112807716845
"9","Houston TX",69.39,6.32291930155915
"10","Indianapolis IN",76.19,6.75114439636759
"11","Los Angeles CA",38.44,5.63713777642938
"12","Miami-Ft. Lauderdale FL",54.03,4.6191278708268
"13","Milwaukee WI",51.04,7.93373857562066
"14","Minneapolis-St. Paul MN",48.95,7.11383000653069
"15","New York NY",57.49,6.44787860450617
"16","Orlando-Daytona Beach-Melbourne FL",52.92,6.10498784194129
"17","Philadelphia PA",73.17,7.09557683402075
"18","Phoenix AZ",34.06,5.48625220103811
"19","Portland OR",44.45,6.79076936707106
"20","Raleigh-Durham (Fayetteville) NC",79.55,7.33179674165558
"21","Sacramento-Stockton-Modesto CA",44.09,6.82885266268625
"22","San Francisco-Oakland-San Jose CA",34.12,5.14336143847323
"23","Seattle-Tacoma WA",40.31,7.2479570504909
"24","St. Louis MO",62.41,6.58959643888426
"25","Tampa-St. Petersburg (Sarasota) FL",52.35,6.09278378476096
"26","Washington DC (Hagerstown MD)",78.94,5.99069092108633
