white history month,region
0,Abilene-Sweetwater TX
0,Albany GA
0,Albany-Schenectady-Troy NY
0,Albuquerque-Santa Fe NM
0,Alexandria LA
0,Alpena MI
0,Amarillo TX
0,Anchorage AK
84,Atlanta GA
0,Augusta GA
0,Austin TX
0,Bakersfield CA
100,Baltimore MD
0,Bangor ME
0,Baton Rouge LA
0,Beaumont-Port Arthur TX
0,Bend OR
0,"Billings, MT"
0,Biloxi-Gulfport MS
0,Binghamton NY
0,Birmingham AL
0,Bluefield-Beckley-Oak Hill WV
0,Boise ID
51,Boston MA-Manchester NH
0,Bowling Green KY
0,Buffalo NY
0,Burlington VT-Plattsburgh NY
0,Butte-Bozeman MT
0,Casper-Riverton WY
0,Cedar Rapids-Waterloo-Iowa City & Dubuque IA
0,Champaign & Springfield-Decatur IL
0,Charleston SC
0,Charleston-Huntington WV
81,Charlotte NC
0,Charlottesville VA
0,Chattanooga TN
0,Cheyenne WY-Scottsbluff NE
77,Chicago IL
0,Chico-Redding CA
0,Cincinnati OH
0,Clarksburg-Weston WV
68,Cleveland-Akron (Canton) OH
0,Colorado Springs-Pueblo CO
0,Columbia SC
0,Columbia-Jefferson City MO
0,Columbus GA
0,Columbus OH
0,Columbus-Tupelo-West Point MS
0,Corpus Christi TX
66,Dallas-Ft. Worth TX
0,Davenport IA-Rock Island-Moline IL
0,Dayton OH
46,Denver CO
0,Des Moines-Ames IA
75,Detroit MI
0,Dothan AL
0,Duluth MN-Superior WI
0,El Paso TX
0,Elmira NY
0,Erie PA
0,Eugene OR
0,Eureka CA
0,Evansville IN
0,Fairbanks AK
0,Fargo-Valley City ND
0,Flint-Saginaw-Bay City MI
0,Florence-Myrtle Beach SC
0,Fresno-Visalia CA
0,Ft. Myers-Naples FL
0,Ft. Smith-Fayetteville-Springdale-Rogers AR
0,Ft. Wayne IN
0,Gainesville FL
0,Glendive MT
0,Grand Junction-Montrose CO
0,Grand Rapids-Kalamazoo-Battle Creek MI
0,Great Falls MT
0,Green Bay-Appleton WI
0,Greensboro-High Point-Winston Salem NC
0,Greenville-New Bern-Washington NC
0,Greenville-Spartanburg SC-Asheville NC-Anderson SC
0,Greenwood-Greenville MS
0,Harlingen-Weslaco-Brownsville-McAllen TX
0,Harrisburg-Lancaster-Lebanon-York PA
0,Harrisonburg VA
0,Hartford & New Haven CT
0,Hattiesburg-Laurel MS
0,Helena MT
0,Honolulu HI
81,Houston TX
0,Huntsville-Decatur (Florence) AL
0,Idaho Falls-Pocatello ID
83,Indianapolis IN
0,Jackson MS
0,Jackson TN
0,Jacksonville FL
0,Johnstown-Altoona PA
0,Jonesboro AR
0,Joplin MO-Pittsburg KS
0,Juneau AK
0,Kansas City MO
0,Knoxville TN
0,La Crosse-Eau Claire WI
0,Lafayette IN
0,Lafayette LA
0,Lake Charles LA
0,Lansing MI
0,Laredo TX
0,Las Vegas NV
0,Lexington KY
0,Lima OH
0,Lincoln & Hastings-Kearney NE
0,Little Rock-Pine Bluff AR
44,Los Angeles CA
0,Louisville KY
0,Lubbock TX
0,Macon GA
0,Madison WI
0,Mankato MN
0,Marquette MI
0,Medford-Klamath Falls OR
0,Memphis TN
0,Meridian MS
58,Miami-Ft. Lauderdale FL
49,Milwaukee WI
46,Minneapolis-St. Paul MN
0,Minot-Bismarck-Dickinson(Williston) ND
0,Missoula MT
0,Mobile AL-Pensacola (Ft. Walton Beach) FL
0,Monroe LA-El Dorado AR
0,Monterey-Salinas CA
0,Montgomery (Selma) AL
0,Nashville TN
0,New Orleans LA
66,New York NY
0,Norfolk-Portsmouth-Newport News VA
0,North Platte NE
0,Odessa-Midland TX
0,Oklahoma City OK
0,Omaha NE
64,Orlando-Daytona Beach-Melbourne FL
0,Ottumwa IA-Kirksville MO
0,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
0,Palm Springs CA
0,Panama City FL
0,Parkersburg WV
0,Peoria-Bloomington IL
90,Philadelphia PA
33,Phoenix AZ
0,Pittsburgh PA
55,Portland OR
0,Portland-Auburn ME
0,Presque Isle ME
0,Providence RI-New Bedford MA
0,Quincy IL-Hannibal MO-Keokuk IA
87,Raleigh-Durham (Fayetteville) NC
0,Rapid City SD
0,Reno NV
0,Richmond-Petersburg VA
