weather + 'white history month',region
55,Abilene-Sweetwater TX
65,Albany GA
67,Albany-Schenectady-Troy NY
61,Albuquerque-Santa Fe NM
61,Alexandria LA
100,Alpena MI
76,Amarillo TX
55,Anchorage AK
51,Atlanta GA
77,Augusta GA
55,Austin TX
66,Bakersfield CA
63,Baltimore MD
83,Bangor ME
46,Baton Rouge LA
66,Beaumont-Port Arthur TX
79,Bend OR
78,"Billings, MT"
60,Biloxi-Gulfport MS
70,Binghamton NY
59,Birmingham AL
77,Bluefield-Beckley-Oak Hill WV
56,Boise ID
61,Boston MA-Manchester NH
60,Bowling Green KY
64,Buffalo NY
73,Burlington VT-Plattsburgh NY
81,Butte-Bozeman MT
77,Casper-Riverton WY
68,Cedar Rapids-Waterloo-Iowa City & Dubuque IA
61,Champaign & Springfield-Decatur IL
61,Charleston SC
60,Charleston-Huntington WV
61,Charlotte NC
57,Charlottesville VA
65,Chattanooga TN
73,Cheyenne WY-Scottsbluff NE
58,Chicago IL
70,Chico-Redding CA
62,Cincinnati OH
71,Clarksburg-Weston WV
59,Cleveland-Akron (Canton) OH
67,Colorado Springs-Pueblo CO
59,Columbia SC
66,Columbia-Jefferson City MO
60,Columbus GA
56,Columbus OH
67,Columbus-Tupelo-West Point MS
60,Corpus Christi TX
50,Dallas-Ft. Worth TX
70,Davenport IA-Rock Island-Moline IL
62,Dayton OH
63,Denver CO
67,Des Moines-Ames IA
57,Detroit MI
66,Dothan AL
77,Duluth MN-Superior WI
47,El Paso TX
77,Elmira NY
75,Erie PA
69,Eugene OR
74,Eureka CA
62,Evansville IN
66,Fairbanks AK
65,Fargo-Valley City ND
65,Flint-Saginaw-Bay City MI
79,Florence-Myrtle Beach SC
59,Fresno-Visalia CA
57,Ft. Myers-Naples FL
63,Ft. Smith-Fayetteville-Springdale-Rogers AR
64,Ft. Wayne IN
54,Gainesville FL
86,Glendive MT
68,Grand Junction-Montrose CO
63,Grand Rapids-Kalamazoo-Battle Creek MI
83,Great Falls MT
66,Green Bay-Appleton WI
64,Greensboro-High Point-Winston Salem NC
70,Greenville-New Bern-Washington NC
71,Greenville-Spartanburg SC-Asheville NC-Anderson SC
81,Greenwood-Greenville MS
47,Harlingen-Weslaco-Brownsville-McAllen TX
67,Harrisburg-Lancaster-Lebanon-York PA
69,Harrisonburg VA
59,Hartford & New Haven CT
56,Hattiesburg-Laurel MS
71,Helena MT
41,Honolulu HI
53,Houston TX
62,Huntsville-Decatur (Florence) AL
65,Idaho Falls-Pocatello ID
57,Indianapolis IN
52,Jackson MS
63,Jackson TN
56,Jacksonville FL
61,Johnstown-Altoona PA
57,Jonesboro AR
77,Joplin MO-Pittsburg KS
80,Juneau AK
61,Kansas City MO
70,Knoxville TN
73,La Crosse-Eau Claire WI
53,Lafayette IN
48,Lafayette LA
64,Lake Charles LA
61,Lansing MI
57,Laredo TX
47,Las Vegas NV
62,Lexington KY
68,Lima OH
69,Lincoln & Hastings-Kearney NE
62,Little Rock-Pine Bluff AR
47,Los Angeles CA
59,Louisville KY
62,Lubbock TX
61,Macon GA
71,Madison WI
73,Mankato MN
72,Marquette MI
83,Medford-Klamath Falls OR
62,Memphis TN
69,Meridian MS
39,Miami-Ft. Lauderdale FL
68,Milwaukee WI
63,Minneapolis-St. Paul MN
68,Minot-Bismarck-Dickinson(Williston) ND
77,Missoula MT
61,Mobile AL-Pensacola (Ft. Walton Beach) FL
67,Monroe LA-El Dorado AR
61,Monterey-Salinas CA
58,Montgomery (Selma) AL
58,Nashville TN
51,New Orleans LA
55,New York NY
65,Norfolk-Portsmouth-Newport News VA
78,North Platte NE
64,Odessa-Midland TX
55,Oklahoma City OK
64,Omaha NE
52,Orlando-Daytona Beach-Melbourne FL
83,Ottumwa IA-Kirksville MO
67,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
63,Palm Springs CA
77,Panama City FL
67,Parkersburg WV
62,Peoria-Bloomington IL
59,Philadelphia PA
48,Phoenix AZ
61,Pittsburgh PA
58,Portland OR
73,Portland-Auburn ME
92,Presque Isle ME
64,Providence RI-New Bedford MA
81,Quincy IL-Hannibal MO-Keokuk IA
59,Raleigh-Durham (Fayetteville) NC
80,Rapid City SD
67,Reno NV
63,Richmond-Petersburg VA
43,Roanoke-Lynchburg VA
68,Rochester MN-Mason City IA-Austin MN
62,Rochester NY
77,Rockford IL
60,Sacramento-Stockton-Modesto CA
80,Salisbury MD
53,Salt Lake City UT
73,San Angelo TX
55,San Antonio TX
49,San Diego CA
45,San Francisco-Oakland-San Jose CA
62,Santa Barbara-Santa Maria-San Luis Obispo CA
64,Savannah GA
62,Seattle-Tacoma WA
73,Sherman TX-Ada OK
65,Shreveport LA
77,Sioux City IA
67,Sioux Falls(Mitchell) SD
66,South Bend-Elkhart IN
67,Spokane WA
70,Springfield MO
65,Springfield-Holyoke MA
68,St. Joseph MO
57,St. Louis MO
65,Syracuse NY
58,Tallahassee FL-Thomasville GA
52,Tampa-St. Petersburg (Sarasota) FL
67,Terre Haute IN
63,Toledo OH
68,Topeka KS
81,Traverse City-Cadillac MI
69,Tri-Cities TN-VA
54,Tucson (Sierra Vista) AZ
56,Tulsa OK
76,Twin Falls ID
62,Tyler-Longview(Lufkin & Nacogdoches) TX
76,Utica NY
58,Victoria TX
57,Waco-Temple-Bryan TX
51,Washington DC (Hagerstown MD)
73,Watertown NY
75,Wausau-Rhinelander WI
49,West Palm Beach-Ft. Pierce FL
70,Wheeling WV-Steubenville OH
69,Wichita Falls TX & Lawton OK
66,Wichita-Hutchinson KS
68,Wilkes Barre-Scranton PA
71,Wilmington NC
77,Yakima-Pasco-Richland-Kennewick WA
66,Youngstown OH
61,Yuma AZ-El Centro CA
67,Zanesville OH
55,Abilene-Sweetwater TX
65,Albany GA
67,Albany-Schenectady-Troy NY
61,Albuquerque-Santa Fe NM
61,Alexandria LA
100,Alpena MI
76,Amarillo TX
55,Anchorage AK
51,Atlanta GA
77,Augusta GA
55,Austin TX
66,Bakersfield CA
63,Baltimore MD
83,Bangor ME
46,Baton Rouge LA
66,Beaumont-Port Arthur TX
79,Bend OR
78,"Billings, MT"
60,Biloxi-Gulfport MS
70,Binghamton NY
59,Birmingham AL
77,Bluefield-Beckley-Oak Hill WV
56,Boise ID
61,Boston MA-Manchester NH
60,Bowling Green KY
64,Buffalo NY
73,Burlington VT-Plattsburgh NY
81,Butte-Bozeman MT
77,Casper-Riverton WY
68,Cedar Rapids-Waterloo-Iowa City & Dubuque IA
61,Champaign & Springfield-Decatur IL
61,Charleston SC
60,Charleston-Huntington WV
61,Charlotte NC
57,Charlottesville VA
65,Chattanooga TN
73,Cheyenne WY-Scottsbluff NE
58,Chicago IL
70,Chico-Redding CA
62,Cincinnati OH
71,Clarksburg-Weston WV
59,Cleveland-Akron (Canton) OH
67,Colorado Springs-Pueblo CO
59,Columbia SC
66,Columbia-Jefferson City MO
60,Columbus GA
56,Columbus OH
67,Columbus-Tupelo-West Point MS
60,Corpus Christi TX
50,Dallas-Ft. Worth TX
70,Davenport IA-Rock Island-Moline IL
62,Dayton OH
63,Denver CO
67,Des Moines-Ames IA
57,Detroit MI
66,Dothan AL
77,Duluth MN-Superior WI
47,El Paso TX
77,Elmira NY
75,Erie PA
69,Eugene OR
74,Eureka CA
62,Evansville IN
66,Fairbanks AK
65,Fargo-Valley City ND
65,Flint-Saginaw-Bay City MI
79,Florence-Myrtle Beach SC
59,Fresno-Visalia CA
57,Ft. Myers-Naples FL
63,Ft. Smith-Fayetteville-Springdale-Rogers AR
64,Ft. Wayne IN
54,Gainesville FL
86,Glendive MT
68,Grand Junction-Montrose CO
63,Grand Rapids-Kalamazoo-Battle Creek MI
83,Great Falls MT
66,Green Bay-Appleton WI
64,Greensboro-High Point-Winston Salem NC
70,Greenville-New Bern-Washington NC
71,Greenville-Spartanburg SC-Asheville NC-Anderson SC
81,Greenwood-Greenville MS
47,Harlingen-Weslaco-Brownsville-McAllen TX
67,Harrisburg-Lancaster-Lebanon-York PA
69,Harrisonburg VA
59,Hartford & New Haven CT
56,Hattiesburg-Laurel MS
71,Helena MT
41,Honolulu HI
53,Houston TX
62,Huntsville-Decatur (Florence) AL
65,Idaho Falls-Pocatello ID
57,Indianapolis IN
52,Jackson MS
63,Jackson TN
56,Jacksonville FL
61,Johnstown-Altoona PA
57,Jonesboro AR
77,Joplin MO-Pittsburg KS
80,Juneau AK
61,Kansas City MO
70,Knoxville TN
73,La Crosse-Eau Claire WI
53,Lafayette IN
48,Lafayette LA
64,Lake Charles LA
61,Lansing MI
57,Laredo TX
47,Las Vegas NV
62,Lexington KY
68,Lima OH
69,Lincoln & Hastings-Kearney NE
62,Little Rock-Pine Bluff AR
47,Los Angeles CA
59,Louisville KY
62,Lubbock TX
61,Macon GA
71,Madison WI
73,Mankato MN
72,Marquette MI
83,Medford-Klamath Falls OR
62,Memphis TN
69,Meridian MS
39,Miami-Ft. Lauderdale FL
68,Milwaukee WI
63,Minneapolis-St. Paul MN
68,Minot-Bismarck-Dickinson(Williston) ND
77,Missoula MT
61,Mobile AL-Pensacola (Ft. Walton Beach) FL
67,Monroe LA-El Dorado AR
61,Monterey-Salinas CA
58,Montgomery (Selma) AL
58,Nashville TN
51,New Orleans LA
55,New York NY
65,Norfolk-Portsmouth-Newport News VA
78,North Platte NE
64,Odessa-Midland TX
55,Oklahoma City OK
64,Omaha NE
52,Orlando-Daytona Beach-Melbourne FL
83,Ottumwa IA-Kirksville MO
67,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
